,from_id,to_id,travel_time
568,48060149,68,19.0
569,48060149,83,23.0
570,48060149,105,19.0
571,48060149,163,24.0
572,48060149,313,25.0
573,48060150,18,7.0
574,48060150,31,20.0
575,48060150,68,23.0
576,48060150,83,22.0
577,48060150,105,15.0
578,48060150,163,21.0
579,48060150,313,18.0
580,48060151,18,11.0
581,48060151,313,17.0
582,48060151,324,19.0
583,48060152,18,17.0
584,48060152,313,22.0
585,48060152,324,21.0
586,48060153,18,16.0
587,48060153,31,21.0
588,48060153,105,16.0
589,48060153,313,16.0
590,48060154,18,18.0
591,48060154,31,22.0
592,48060154,105,17.0
593,48060154,313,17.0
594,48060155,18,23.0
595,48060155,31,20.0
596,48060155,105,15.0
597,48060155,313,13.0
598,48060156,18,28.0
599,48060156,31,23.0
600,48060156,105,21.0
601,48060156,313,16.0
602,48060157,18,25.0
603,48060157,31,16.0
604,48060157,105,16.0
605,48060157,313,10.0
606,48060160,5,11.0
607,48060160,20,28.0
608,48060160,21,28.0
609,48060160,297,11.0
610,48060161,5,7.0
611,48060161,20,25.0
612,48060161,21,25.0
613,48060161,297,7.0
614,48060162,5,15.0
615,48060162,20,21.0
616,48060162,21,21.0
617,48060162,297,15.0
618,48060163,5,9.0
619,48060163,20,25.0
620,48060163,21,25.0
621,48060163,297,9.0
622,48060165,5,39.0
623,48060165,297,39.0
624,48060166,5,23.0
625,48060166,20,19.0
626,48060166,21,19.0
627,48060166,119,32.0
628,48060166,129,32.0
629,48060166,272,30.0
630,48060166,297,23.0
631,48060167,5,36.0
632,48060167,20,32.0
633,48060167,21,33.0
634,48060167,119,28.0
635,48060167,129,28.0
636,48060167,272,26.0
637,48060167,297,36.0
638,48060168,5,37.0
639,48060168,297,37.0
640,48060169,65,27.0
641,48060169,119,23.0
642,48060169,129,23.0
643,48060169,272,22.0
644,48060173,5,39.0
645,48060173,297,39.0
646,48060175,31,21.0
647,48060175,105,22.0
648,48060175,313,17.0
649,48060177,88,26.0
650,48060177,339,29.0
651,48060178,88,22.0
652,48060178,339,25.0
653,48060179,88,22.0
654,48060179,339,25.0
655,48060180,88,29.0
656,48060180,339,31.0
657,48060181,88,19.0
658,48060181,205,23.0
659,48060181,339,23.0
660,48060184,43,22.0
661,48060184,283,16.0
662,48060184,292,16.0
663,48060185,43,23.0
664,48060185,283,9.0
665,48060185,292,9.0
666,48060186,43,20.0
667,48060186,283,2.0
668,48060186,292,2.0
669,48060187,43,21.0
670,48060187,283,8.0
671,48060187,292,8.0
672,48060188,43,17.0
673,48060188,283,5.0
674,48060188,292,5.0
675,48060189,43,18.0
676,48060189,100,19.0
677,48060189,275,20.0
678,48060189,283,6.0
679,48060189,292,6.0
680,48060190,43,5.0
681,48060190,100,20.0
682,48060190,275,19.0
683,48060190,283,23.0
684,48060190,292,23.0
685,48060191,43,7.0
