48061880,1,62.0
48061880,2,63.0
48061880,3,107.0
48061880,4,46.0
48061881,0,49.0
48061881,1,60.0
48061881,2,61.0
48061881,3,105.0
48061881,4,44.0
48061882,0,48.0
48061882,1,59.0
48061882,2,60.0
48061882,3,104.0
48061882,4,43.0
48061883,0,66.0
48061883,1,76.0
48061883,2,64.0
48061883,3,
48061883,4,60.0
48061884,0,64.0
48061884,1,73.0
48061884,2,64.0
48061884,3,119.0
48061884,4,58.0
48061885,0,55.0
48061885,1,64.0
48061885,2,63.0
48061885,3,110.0
48061885,4,49.0
48061886,0,48.0
48061886,1,59.0
48061886,2,60.0
48061886,3,104.0
48061886,4,43.0
48061887,0,49.0
48061887,1,60.0
48061887,2,61.0
48061887,3,105.0
48061887,4,44.0
48061888,0,47.0
48061888,1,58.0
48061888,2,59.0
48061888,3,103.0
48061888,4,42.0
48061946,0,99.0
48061946,1,92.0
48061946,2,70.0
48061946,3,51.0
48061946,4,80.0
48061947,0,101.0
48061947,1,93.0
48061947,2,72.0
48061947,3,48.0
48061947,4,81.0
48061949,0,111.0
48061949,1,93.0
48061949,2,85.0
48061949,3,44.0
48061949,4,90.0
48061951,0,106.0
48061951,1,92.0
48061951,2,79.0
48061951,3,41.0
48061951,4,85.0
48061953,0,98.0
48061953,1,82.0
48061953,2,72.0
48061953,3,30.0
48061953,4,77.0
48061956,0,100.0
48061956,1,81.0
48061956,2,78.0
48061956,3,30.0
48061956,4,78.0
48061957,0,104.0
48061957,1,89.0
48061957,2,82.0
48061957,3,37.0
48061957,4,84.0
48061958,0,100.0
48061958,1,82.0
48061958,2,79.0
48061958,3,33.0
48061958,4,78.0
48061959,0,106.0
48061959,1,93.0
48061959,2,85.0
48061959,3,41.0
48061959,4,87.0
48061986,0,65.0
48061986,1,36.0
48061986,2,86.0
48061986,3,82.0
48061986,4,65.0
48061987,0,72.0
48061987,1,40.0
48061987,2,89.0
48061987,3,88.0
48061987,4,67.0
48061988,0,69.0
48061988,1,38.0
48061988,2,88.0
48061988,3,85.0
48061988,4,66.0
48061989,0,70.0
48061989,1,38.0
48061989,2,85.0
48061989,3,83.0
48061989,4,64.0
48061990,0,74.0
48061990,1,41.0
48061990,2,87.0
48061990,3,91.0
48061990,4,65.0
48061991,0,79.0
48061991,1,43.0
48061991,2,90.0
48061991,3,95.0
48061991,4,68.0
48061992,0,74.0
48061992,1,39.0
48061992,2,86.0
48061992,3,91.0
48061992,4,64.0
48061993,0,69.0
48061993,1,34.0
48061993,2,80.0
48061993,3,85.0
48061993,4,59.0
48061994,0,73.0
48061994,1,36.0
48061994,2,82.0
48061994,3,90.0
48061994,4,61.0
48061995,0,70.0
48061995,1,34.0
48061995,2,80.0
48061995,3,86.0
48061995,4,58.0
48061996,0,70.0
48061996,1,32.0
48061996,2,78.0
48061996,3,89.0
48061996,4,57.0
48061997,0,70.0
48061997,1,32.0
48061997,2,78.0
48061997,3,91.0
48061997,4,57.0
48062001,0,81.0
48062001,1,43.0
48062001,2,90.0
48062001,3,97.0
48062001,4,68.0
48062002,0,77.0
48062002,1,45.0
48062002,2,93.0
48062002,3,94.0
48062002,4,72.0
48062003,0,76.0
48062003,1,44.0
48062003,2,92.0
48062003,3,93.0
48062003,4,71.0
48062004,0,75.0
48062004,1,44.0
48062004,2,93.0
48062004,3,92.0
48062004,4,71.0
48062005,0,76.0
48062005,1,44.0
48062005,2,93.0
48062005,3,94.0
48062005,4,72.0
48062006,0,79.0
48062006,1,47.0
48062006,2,96.0
48062006,3,96.0
